"","EpCAM","mTOR","N_Cad"
"P1_A_1",-7.8034204125102,-7.63124637592872,-8.68916982533815
"P2_A/1_1",-6.73196683153479,-8.13433062808728,-8.00012216047189
"P2_B_1",-7.69827409576316,-7.68187749050423,-8.27113072778795
"P3_A/1_1",-7.42568236866001,-8.23620298371085,-7.96964672707933
"P4_B_1",-7.79723401502041,-7.90187740184761,-8.7767197961341
"P5_A_1",-7.95440241782138,-7.81821643490832,-7.93586228397245
"P5_AR_1",-7.55465008950112,-7.64964805712548,-7.52850224426464
"P5_B_1",-7.7797355294677,-7.69072998519644,-7.84849373492475
"P6_B_1",-7.94831269670568,-7.79845834015477,-7.81210367159457
"P7_A_1",-7.84489787312698,-7.76077460660266,-8.15152216911387
"P8_C_1",-8.2278172056881,-7.64481655244929,-8.83573720202324
"P9_A_1",-7.85601794576976,-7.34912991052453,-8.21532937723972
"P9_AS_1",-7.83438509186075,-7.85136812641632,-8.5457822831731
"P10_B_1",-8.07334387118628,-8.24742037594998,-8.69462459071329
"P11_A_1",-7.12348782076499,-7.67534260525337,-8.10586830283731
"P11_D_1",-6.95768697228507,-7.72013022391746,-8.14624836267076
"P12_B_1",-7.76326404381923,-7.39213392707267,-8.00813415700984
"P13_D/1_1",-7.99056606073526,-7.48013703989302,-7.68795944546112
"P14_G_1",-7.9743737779166,-7.50246161781201,-7.76862037934124
"P15_G_1",-7.82813343278089,-7.50223888179324,-7.04709709989292
"P16_A_1",-7.94627015424732,-7.38508549762986,-7.1434945528258
"P17_A_1",-7.85759395025485,-7.72079473331204,-7.8936463070878
"P18_G_1",-7.8956652905806,-7.46725429772323,-7.67414264743322
"P19_F_1",-8.14760029288505,-7.62286038233895,-7.0336302914048
"P20_B_2",-7.81109304859674,-8.06173795239979,-6.71796307679628
"P1_B/1_2",-7.58233939783375,-7.3998591887371,-7.62856241910533
"P2_A/2_2",-7.71625935001295,-7.53627011659002,-8.3625324629942
"P3_A/2_2",-7.9294219673436,-7.81194286702089,-7.39910683074914
"P3_B_2",-7.89616399567343,-7.91889504842917,-7.80007813436294
"P4_BS_2",-8.00584056425438,-8.24725046115371,-7.97044958108407
"P5_AS_2",-7.60171870515342,-7.32268268290512,-7.749287233214
"P5_BR_2",-7.19566050154182,-7.38538101498268,-7.41624716195615
"P5_BS_2",-7.58299151125486,-7.37074452871926,-7.60064216111238
"P6_BR_2",-7.67718467609933,-7.58038924117923,-8.18182964437334
"P7_B_2",-8.08736989810822,-7.59963201301616,-7.23154469928565
"P8_D/1_2",-7.65914139702196,-7.56414471581396,-7.09867381162741
"P21_A/1_2",-7.76720656206986,-7.29321270363606,-7.85416134505145
"P22_A_2",-8.03472584159168,-7.43895924670865,-7.9182389112059
"P9_AT_2",-8.16870681044106,-7.73762464483266,-8.04881864311912
"P10_C_2",-8.23577407097113,-7.76290733306314,-7.84687104060786
"P11_B/1_2",-8.01144333268868,-7.62613113165283,-7.34890495673735
"P12_A_2",-7.84706146246149,-7.69097419501025,-7.14983882525796
"P12_C_2",-7.83331290327301,-7.71131954663029,-6.89234244354515
"P13_C_2",-7.87516572121456,-7.50364680277023,-6.87699916617374
"P13_E_2",-7.43571712654946,-7.20911326035561,-7.55810379863148
"P14_E_2",-7.86181030674366,-7.73880793626218,-7.10508880956289
"P15_E_2",-7.78108252103701,-7.3651217110558,-7.49069950378718
"P15_H_2",-7.84357097255866,-7.74952477142108,-7.62995721160248
"P16_F_2",-7.5423076614538,-7.35644327285525,-7.35273514181109
"P17_F_2",-7.67453700163878,-7.25623991675763,-7.59633685693036
"P18_E_2",-8.06155979345944,-7.78927043394276,-7.0021643681098
"P18_H_2",-7.87878599251859,-7.6227955535674,-7.25535971137295
"P20_C_3",-7.72263548319202,-7.98591717131318,-8.14628339799836
"P1_B/2_3",-7.40252973035326,-7.25998038006208,-7.28409565203186
"P2_AR_3",-7.48152136709261,-7.47376249850835,-7.64194615635316
"P3_AR_3",-7.51214463681884,-7.72150484420001,-8.30065799159412
"P4_A_3",-6.6698613398873,-7.65829192072837,-7.66478984257446
"P4_BT_3",-7.87569137027073,-7.87921793271831,-8.01555414745231
"P5_AU_3",-7.36447010777513,-7.28134214662489,-7.62986290891094
"P5_BT_3",-7.23019209361749,-7.12174492454124,-7.59543225339533
"P6_A_3",-7.61317672052051,-7.60270057024363,-7.85226328351822
"P6_BS_3",-7.51745060353045,-7.55253085210913,-7.85424982436482
"P8_B_3",-7.26596075363445,-7.29040703475098,-7.60061652929028
"P8_D/2_3",-6.87733528944514,-7.32216995502565,-7.59759752068516
"P21_A/2_3",-7.74302096683485,-7.63750178949116,-8.12877194283824
"P22_B_3",-7.96495872445193,-7.84000724775185,-7.98224034523322
"P9_AU_3",-7.5398206491533,-7.38378396034386,-7.8412873298178
"P11_B/2_3",-7.60693757927113,-7.46530940120215,-7.41610284212352
"P12_R_3",-7.54475330899687,-7.53391196029255,-7.68006616003891
"P13_D/2_3",-7.54100920002564,-7.75811825938363,-7.3704901511656
"P14_F_3",-7.41529391289362,-7.31583705065116,-7.45230122261789
"P15_F_3",-6.87057540528956,-7.56144054411921,-7.71834751954344
"P17_G_3",-7.54730419354934,-7.65476949838873,-7.41488283048724
"P18_F_3",-7.46483347649937,-7.46544307473799,-7.48030130310576
"P19_G_3",-7.58435383454366,-7.58710657607888,-7.72404521180809
